Model,Organization,Country (of organization),bloque_geopolitico,era_tecnologica,Domain,pca_1,pca_2,tsne_1,tsne_2
MegaScale (530B),"ByteDance,Peking University",China,China,Era LLM (2023-2026),Language,2.2734794680691843,0.5214922888209844,8.338932,29.261173
MegaScale (Production),"ByteDance,Peking University",China,China,Era LLM (2023-2026),Language,2.360189683274328,0.5361151726211777,8.546584,29.375647
ProtChatGPT,"University of Technology Sydney,Zhejiang University (ZJU)",Australia,Anglosphere,Era LLM (2023-2026),Biology,1.0661025273090359,-2.6307483984227367,14.01937,-37.85619
PLAPT,"Wolfram Research,ASC27,Newport High School,Sanskriti School",United States of America,Anglosphere,Era LLM (2023-2026),Biology,0.8123665833324472,-0.8800767519311683,16.957178,-32.091553
Distilled Grandmaster,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era LLM (2023-2026),Games,1.441299265617114,0.34279100251260647,7.9860578,2.6579657
CARP,Microsoft Research,United States of America,Anglosphere,Era LLM (2023-2026),Biology,1.6519094438287982,-0.15354105779407187,17.593185,-28.558954
Code Llama-70B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.3590586020770266,1.0581442106019172,14.823796,-2.9902546
ProteinStructureTransformer,Max Planck Institute of Biochemistry,Germany,Europa,Era LLM (2023-2026),Biology,0.576431959977936,-2.72485982993455,14.262333,-37.260525
OmniNA,Tianjin Medical University,China,China,Era LLM (2023-2026),Biology,0.6166869264758728,-3.02864570192213,14.832157,-37.033176
DeepSeekMoE-16B,DeepSeek,China,China,Era LLM (2023-2026),Language,2.0403950033716205,0.7032651643148793,11.182647,-3.075514
PLLaMa,"University of California Santa Barbara (UCSB),University of Lincoln,Chinese Academy of Agricultural Sciences,Swedish University of Agricultural Sciences",United States of America,Anglosphere,Era LLM (2023-2026),Biology,1.3901613613689034,-2.427412140937353,10.825126,-36.53138
YaYi 2.0,Yayi (Wenge),China,China,Era LLM (2023-2026),Language,2.3946364006977934,-0.03764640852832043,7.2230525,-4.569011
nekomata-14b,rinna,Japan,Asia-Pacífico,Era LLM (2023-2026),Language,2.2213648707446207,0.1877426847791914,7.9084687,-4.277353
CogAgent,"Tsinghua University,Z.ai (Zhipu AI)",China,China,Era LLM (2023-2026),Vision,0.5334865548987233,-0.326418762165694,-27.240162,13.0936165
FunSearch,Google DeepMind,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.1298675535718092,0.7493259956483413,11.794094,-3.2375069
VILA-13B,"NVIDIA,Massachusetts Institute of Technology (MIT)",United States of America,Anglosphere,Era LLM (2023-2026),Multimodal,2.059997929482462,1.513291605680202,32.12434,6.565707
Llama Guard,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.9852910400276045,0.7623669204123874,11.425987,-2.6918483
Mamba-2.8B,"Carnegie Mellon University (CMU),Princeton University",United States of America,Anglosphere,Era LLM (2023-2026),Language,0.7851079494027657,-1.0330713335546184,-1.4259496,-10.987065
Orca 2-13B,Microsoft Research,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.0318997918853223,0.4986883872337493,9.442244,-3.4682086
Volcano 13B,"Korea University,Korea Advanced Institute of Science and Technology (KAIST),LG",Korea (Republic of),Asia-Pacífico,Era LLM (2023-2026),Language,1.2502823661954419,-1.741336008103643,-1.4161218,-12.888817
CogVLM-17B,"Tsinghua University,Z.ai (Zhipu AI),Beihang University",China,China,Era LLM (2023-2026),Multimodal,1.478671861755365,-0.5404438636978652,32.8986,4.7797675
LLaVA 1.5,"University of Wisconsin Madison,Microsoft Research",United States of America,Anglosphere,Era LLM (2023-2026),Multimodal,1.3903744792497763,-0.21513553465500757,32.806137,4.7143755
Skywork-13B,Kunlun Inc.,China,China,Era LLM (2023-2026),Language,2.15335576220601,0.4440663993375197,9.166248,-3.8858254
CODEFUSION (Python),"Microsoft,Microsoft Research",United States of America,Anglosphere,Era LLM (2023-2026),Language,0.6102433688560301,-0.05646612239028939,1.0711577,25.554325
Llemma 34B,"Princeton University,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington,EleutherAI",United States of America,Anglosphere,Era LLM (2023-2026),Mathematics,1.2383160186011408,-1.1550663540816812,-0.6774298,-15.065565
Llemma 7B,"Princeton University,EleutherAI,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington",United States of America,Anglosphere,Era LLM (2023-2026),Mathematics,0.9745140218039834,-1.2012590965810137,-0.8927635,-15.183759
CodeFuse-13B,Ant Group,China,China,Era LLM (2023-2026),Language,2.228091414502194,0.16842189876242128,7.808969,-4.283596
FinGPT-13B,"University of California Los Angeles (UCLA),Columbia University,New York University (NYU)",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.3279721950855041,-1.7259741824630435,-1.1999743,-12.820496
LLaMA-7B (protein-oriented instruction-tuned),Zhejiang University (ZJU),China,China,Era LLM (2023-2026),Language,1.1398090234328135,-1.6972448311710857,-1.6799084,-12.851817
TinyLlama-1.1B (1T token checkpoint),Singapore University of Technology & Design,Singapore,Asia-Pacífico,Era LLM (2023-2026),Language,0.7927825272002369,-1.4503924251691145,-2.141751,-12.234918
TinyLlama-1.1B (3T token checkpoint),Singapore University of Technology & Design,Singapore,Asia-Pacífico,Era LLM (2023-2026),Language,0.861199195666805,-1.4388545805147557,-1.874496,-12.124602
Qwen-14B,Alibaba,China,China,Era LLM (2023-2026),Language,2.0283752505578976,1.0455367450506894,13.896255,-2.1826491
Qwen-7B,Alibaba,China,China,Era LLM (2023-2026),Language,1.8978953444296038,1.0227847533874854,13.364159,-1.8178145
InternLM-XComposer,Shanghai AI Lab,China,China,Era LLM (2023-2026),Multimodal,1.2638202536879586,-0.7398057487727462,32.95824,4.8138165
DreamLLM,"Xi’an Jiaotong University,Megvii Inc,Tsinghua University,Huazhong University of Science and Technology",China,China,Era LLM (2023-2026),Multimodal,0.7601317984237042,-0.8944167628506945,33.5985,5.1726213
Baichuan 2-7B,Baichuan,China,China,Era LLM (2023-2026),Language,1.9519329833320807,0.8015624351205557,11.704823,-2.4154637
OpenChat-13b,"Tsinghua University,Shanghai AI Lab,01.AI",China,China,Era LLM (2023-2026),Language,1.2314493955775032,-1.4995265219047964,-1.123284,-12.273275
Phi-1.5,Microsoft,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.5084766403619847,0.636619245565312,8.94346,-1.3233749
MADLAD-400 10B,"Google DeepMind,Google Research",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.9419604092681835,0.5000340025822916,9.224157,-3.1082854
FLM-101B,"Chinese Academy of Sciences,Harbin Institute of Technology,Nanyang Technological University,Beijing Academy of Artificial Intelligence / BAAI",China,China,Era LLM (2023-2026),Language,1.5291949582940398,-1.9066714513880638,-0.9350461,-13.009821
XGen-7B,Salesforce,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.094880464354222,0.04412935397703341,7.203485,-4.0424542
Falcon-180B,Technology Innovation Institute,United Arab Emirates,Medio Oriente,Era LLM (2023-2026),Language,2.152341515604982,-0.23433157207125532,3.9309397,-9.281884
Swift,Intel Labs,United States of America,Anglosphere,Era LLM (2023-2026),Robotics,-0.7088271319035342,0.16610534712431752,1.5443968,21.708559
Jais,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42",United States of America,Anglosphere,Era LLM (2023-2026),Language,2.081796921029287,0.29150346870814,8.173788,-3.7277825
ShapeMol,Ohio State University,United States of America,Anglosphere,Era LLM (2023-2026),Biology,-0.04538024756008924,-1.8554467051074734,15.779078,-34.13448
Code Llama-34B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.173887316884864,1.0525704567582865,14.316499,-2.5996683
Code Llama-7B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.9071529591189949,1.0058831984328285,13.230235,-1.8880218
SS-pLM,"Nostrum Biodiscovery,Barcelona Supercomputing Center,Institucio Catalana de Recerca i Estudis Avancçats",Spain,Europa,Era LLM (2023-2026),Biology,0.1735208539270965,-2.028991914126223,15.774329,-34.20311
AudioLM,Google Research,United States of America,Anglosphere,Era LLM (2023-2026),Audio,0.561004899989706,0.7889980298497301,3.3661604,21.909695
LM-Design,"ByteDance,University of Wisconsin Madison",China,China,Era LLM (2023-2026),Biology,0.5042849383885677,-0.5845230080111435,17.302065,-31.899551
Llama 2-70B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.2070413402237947,1.388655839467217,15.900216,-2.085479
Llama 2-34B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.700337524395915,1.2529750584331472,11.332009,27.038605
Llama 2-7B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.8199656043800079,1.3208950883488288,14.991659,-1.1455266
Llama 2-13B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.9262146662723623,1.3394808241364276,15.314166,-1.4803505
RetNet,"Microsoft Research,Tsinghua University",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.3796871446315955,0.5388180793719847,6.3429255,26.701014
xTrimoPGLM -100B,"Tsinghua University,BioMap Research",China,China,Era LLM (2023-2026),Biology,1.1953868747929157,-2.2187897132410557,13.335296,-38.20036
Pangu-Weather,Huawei,China,China,Era LLM (2023-2026),Earth science,1.3914193707036595,0.7069948005039309,8.320325,2.6989493
LongNet,"Microsoft,Xi’an Jiaotong University",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.3284030727299239,0.3700489291133928,5.026961,26.788542
HyenaDNA,"Stanford University,Harvard University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",United States of America,Anglosphere,Era LLM (2023-2026),Biology,0.1466659411773311,-2.1505413523360732,10.093481,-34.989346
Kosmos-2,Microsoft,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.44877136295194,0.7348193265211032,9.353919,-0.9740619
WizardCoder-15.5B,Microsoft,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.041807437993746,0.8017029079100105,12.029488,-2.8315198
PoET,OpenProtein.ai,Singapore,Asia-Pacífico,Era LLM (2023-2026),Biology,0.7448986016941918,-0.4674714784571604,17.360703,-31.55268
Polyglot-Ko-12.8B,EleutherAI,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.6352664887171326,-0.8787626047433387,4.1421924,-7.2012534
PaLI-X,Google Research,United States of America,Anglosphere,Era LLM (2023-2026),Multimodal,2.2068933266256376,1.3011877404080499,33.20568,7.652642
Guanaco-65B,University of Washington,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.4227776949185889,-0.9869465107077825,-0.34358123,-11.303331
RWKV-4 14B,RWKV Foundation,Multinational,Otro,Era LLM (2023-2026),Language,1.173936293913723,-0.3899104497983451,7.862656,25.498318
ONE-PEACE,"Alibaba,Huazhong University of Science and Technology",China,China,Era LLM (2023-2026),Multimodal,1.8332940156152653,1.1894288028560807,32.51497,6.17784
LIMA,"Meta AI,Carnegie Mellon University (CMU),University of Southern California,Tel Aviv University",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.8958337643679257,0.7822872588696089,9.244646,27.965357
WeLM,WeChat AI,China,China,Era LLM (2023-2026),Language,1.6610818316291864,0.00030665064583864667,4.160162,27.88557
InstructBLIP,"Salesforce Research,Hong Kong University of Science and Technology (HKUST),Nanyang Technological University",United States of America,Anglosphere,Era LLM (2023-2026),Multimodal,1.8431696952705237,1.7576346876627167,31.73702,6.511264
