Model,Organization,Country (of organization),bloque_geopolitico,era_tecnologica,Domain,pca_1,pca_2,tsne_1,tsne_2
BLIP-2 (Q-Former),Salesforce Research,United States of America,Anglosphere,Era LLM (2023-2026),Vision,0.7275560169348769,2.137775026081229,-26.123362,17.82848
DDPM-IP (CelebA),Utrecht University,Netherlands,Europa,Era LLM (2023-2026),Image generation,0.5678991115373387,-1.0717292385242942,17.020016,12.73853
GPT-2+Active-SGD (WT2),University of Montreal / Université de Montréal,Canada,Anglosphere,Era LLM (2023-2026),Language,-0.19378079019880387,-2.897833460616123,-20.305075,-20.603785
Adaptive Agent,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era LLM (2023-2026),Games,0.9298789607299733,0.5229469023849335,3.5876946,22.108807
Ankh_large,"Technical University of Munich,Columbia University",Germany,Europa,Era LLM (2023-2026),Biology,0.8727125822994084,-2.216985191299309,10.367889,-36.02094
Ankh_base,"Technical University of Munich,Columbia University",Germany,Europa,Era LLM (2023-2026),Biology,0.7149298871294073,-2.244611039204206,10.390851,-35.710682
Nucleotide Transformer,"NVIDIA,Technical University of Munich,InstaDeep",United States of America,Anglosphere,Era LLM (2023-2026),Biology,1.8025895894668933,-0.44786820990417947,17.365677,-28.967405
DreamerV3,"DeepMind,University of Toronto",United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era LLM (2023-2026),Games,0.5951950344718091,0.8011065096441229,3.3645036,21.883072
SantaCoder,"Hugging Face,ServiceNow,Massachusetts Institute of Technology (MIT),Wellesley College,Saama,EleutherAI,Huawei Noah's Ark Lab,Carnegie Mellon University (CMU)",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.5659847177086508,0.4638200529625336,8.189263,-1.7567341
VALL-E,Microsoft,United States of America,Anglosphere,Era LLM (2023-2026),Audio,0.45651541936122786,0.8129848280577661,3.262265,21.848148
SparseOPT-175B,"Institute of Science and Technology Austria (ISTA),Neural Magic",Austria,Otro,Era LLM (2023-2026),Language,1.0423948633461402,-1.3456991731636516,-14.075398,-23.702377
Hybrid H3-2.7B,"Stanford University,University at Buffalo",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.8298234459020779,-1.4270255959345433,-1.9199878,-12.06845
OPT-IML (175B),Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.3727770687344156,0.6880145933631545,12.0078125,-4.0373707
CaLM,University of Oxford,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Biology,-0.17756872076573707,-2.693794528042891,14.10356,-36.011177
Whisper v2,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Speech,0.6660396231168983,1.843379551378436,-6.5291405,3.2086053
Vega v2,"Wuhan University,JD Explore Academy,Shanghai AI Lab,Nanyang Technological University,Washington University in St Louis,Chongqing University of Posts and Telecommunications,University of Sydney",China,China,Era Transformer (2017-2022),Language,0.7909312271226787,-1.9883127257979767,-15.251922,-23.533148
ZymCTRL,"Basecamp Research,Friedrich-Alexander-Universität,University of Girona",United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Biology,1.5715674442511063,-0.3805787618471832,17.66516,-29.121048
AR-LDM,"Alibaba,University of Waterloo,Vector Institute",China,China,Era Transformer (2017-2022),Image generation,1.139862823789952,0.9490851949742193,16.491262,14.188716
Fusion in Encoder,Samsung,Korea (Republic of),Asia-Pacífico,Era Transformer (2017-2022),Language,0.944083760511085,-0.23179980826477128,1.0511876,26.560738
Galactica,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.268845834294562,0.8855604079856932,13.364904,-3.3116584
EVA-01,"Beijing Academy of Artificial Intelligence / BAAI,Huazhong University of Science and Technology,Zhejiang University (ZJU),Beijing Institute of Technology",China,China,Era Transformer (2017-2022),Vision,0.06089969190057852,-0.29992929066641316,-27.081158,12.977727
InternImage,"Shanghai AI Lab,Tsinghua University,Nanjing University,SenseTime,Chinese University of Hong Kong (CUHK)",China,China,Era Transformer (2017-2022),Vision,-0.04830906186907859,-0.3074956654461303,-27.045837,12.944119
Mogrifier RLSTM (WT2),DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,0.38137274753147254,-0.8093007180796228,-0.5702957,25.945133
eDiff-I,NVIDIA,United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,1.0896015868518432,1.4281650416276002,16.28504,14.129584
Taiyi-Stable Diffusion,IDEA CCNL,China,China,Era Transformer (2017-2022),Image generation,0.9380065849530539,-0.9046816218262846,17.000282,12.782693
U-PaLM (540B),Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.2745170688760283,0.35208368019848413,7.3283916,29.483019
Flan-PaLM 540B,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.1125706308085146,1.0844580182528334,11.06302,28.205
Flan-T5 11B,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.813051659641313,1.079197286951548,13.582982,-1.3602686
GenSLM,"University of Chicago,NVIDIA,Harvard University,Cerebras Systems,Technical University of Munich,California Institute of Technology",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.008411540750291,-2.2083441942573865,10.4109125,-36.339607
Decaying Fast Weights Transformer (WT-103),Jenni,Singapore,Asia-Pacífico,Era Transformer (2017-2022),Language,0.8464803308427058,-0.09188984173426243,1.4333749,26.2574
DiffDock,Massachusetts Institute of Technology (MIT),United States of America,Anglosphere,Era Transformer (2017-2022),Biology,-0.0070516535198497845,-2.0623279185761514,9.906386,-34.92237
NMST+GPT-2,New York University (NYU),United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.12593047548858458,-2.8174843740672944,-20.044857,-21.219973
Whisper,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Speech,0.46279299691012504,1.8091038689715646,-6.5642123,3.2164047
DistilProtBert,Bar-Ilan University,Israel,Medio Oriente,Era Transformer (2017-2022),Biology,0.42592257706251857,-2.515705560033848,10.925089,-35.081936
PaLI,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.6329865677458981,0.72250660324208,8.381083,27.142302
BEIT-3,Microsoft,United States of America,Anglosphere,Era Transformer (2017-2022),Multimodal,1.577552527957605,1.4684220518650313,31.933393,6.0644927
PeTriBERT,"University of Montpellier,BionomeeX",France,Europa,Era Transformer (2017-2022),Biology,-0.1472846094544429,-2.8532453348706777,14.442986,-35.885765
BlenderBot 3,"McGill University,Meta AI,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",Canada,Anglosphere,Era Transformer (2017-2022),Language,1.566079046568141,-1.4362178819593003,-0.5172681,-12.135361
GLM-130B,Tsinghua University,China,China,Era Transformer (2017-2022),Language,1.4604071973994102,-1.1641101274735224,-0.42045632,-11.558743
AlexaTM 20B,Amazon,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.7563731054619254,0.2989601674326338,5.865191,28.075512
ProtGPT2,University of Bayreuth,Germany,Europa,Era Transformer (2017-2022),Biology,0.6242536600615264,-1.9306887770545564,9.721357,-35.89866
OmegaPLM,"Massachusetts Institute of Technology (MIT),Westlake University",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,0.3027433656526457,-2.1187884504783097,13.116941,-37.417645
ESM2-15B,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.9403377058142273,0.24553195626654295,17.76944,-27.524454
ESM2-3B,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.7126245858739817,0.2053940013399662,17.88507,-27.767733
ESM2-650M,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.4634294210691001,0.16171964437819006,18.075985,-28.079807
ESM2-150M,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.1867657877559563,0.11348100731189711,18.47214,-28.65685
ESM2-35M,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,0.9281966488384463,0.06830576134852381,18.769167,-28.931562
ESM2-8M,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,0.6786379095117514,0.024627793265060233,19.02275,-29.027088
Transformer-XL + RMT,"Moscow Institute of Physics and Technology,AIRI Artificial Intelligence Research Institute",Russia,Rusia,Era Transformer (2017-2022),Language,-0.18546307031629014,-1.904901466899548,-15.292524,-20.780981
Rita-XLarge,"LightOn,Harvard University,University of Oxford",France,Europa,Era Transformer (2017-2022),Biology,1.4623643586532087,-0.1587668329087044,17.950603,-28.935627
BLOOM-176B,"Hugging Face,BigScience",United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.2726101512348245,1.0965766786473132,14.8643,-2.7692575
NLLB,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.9806854679683914,0.9398126062204727,12.981915,-2.3909705
BLOOM-7.1B,"Hugging Face,BigScience",United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.7302700994280646,1.001646622995429,12.649207,-1.2989817
CodeT5-large,Salesforce,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.4689247968374453,0.571695874454319,8.444974,-1.2964393
Minerva (540B),Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.1621110875562604,0.8833647890941525,10.263624,28.636482
ProGen2-xlarge,"Salesforce Research,Columbia University,Johns Hopkins University",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.762005909062072,0.12939494754830735,17.680063,-27.958372
ProGen2-base,"Salesforce Research,Columbia University,Johns Hopkins University",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.3788282034046802,0.062482614273533826,18.05668,-28.436655
GPT-SW3,"AI Sweden,RISE",Sweden,Europa,Era Transformer (2017-2022),Language,0.5207474983687801,-2.1589740010334912,-16.340136,-23.189579
Parti,Google Research,United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,1.729569698220135,1.5998240484471011,16.023079,14.335261
OPT-6.7B,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.6916682667362695,1.0850751243151435,13.198045,-0.9864568
OPT-66B,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.073673295636013,1.151964524643678,14.6909485,-2.1099658
OPT-30B,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.9451470506688504,1.1294391817471248,14.234414,-1.7165259
Unified-IO (XL),"Allen Institute for AI,University of Washington",United States of America,Anglosphere,Era Transformer (2017-2022),Multimodal,1.4995256022773413,0.3868581957870585,32.50922,5.511125
CoCa,Google Research,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.6380204089145237,1.8273100611749291,-24.846167,20.081528
EGRU (WT2),"Ruhr University Bochum,Technische Universität Dresden,University of London",Germany,Europa,Era Transformer (2017-2022),Language,-0.31820593386204044,-2.235692054252484,-18.166653,-20.14941
BIG-G 137B,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.895776828137827,0.9346187529236497,10.220825,27.80145
LIMoE-H/14,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Multimodal,1.6911948907426169,1.254548972819158,33.417957,7.1003666
DITTO,"Tsinghua University,Apple,Westlake University,Chinese University of Hong Kong (CUHK)",China,China,Era Transformer (2017-2022),Language,-0.09292423955885784,-1.9745025485781864,-15.898542,-21.33318
Tranception,"University of Oxford,Harvard Medical School,Cohere",United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Biology,0.70006804467484,-2.1336469498842727,10.114601,-35.810856
GPT-2 Medium (FlashAttention),"Stanford University,University at Buffalo",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.41621938646573586,-1.1549073981835176,-2.3555987,-11.065248
TRIMELMext (247M),Princeton University,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.2972749920047918,-1.778025791365654,-3.9748502,-12.783399
TRIMELMext (7M),Princeton University,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.39599219008456005,-1.8987831467234868,-5.240615,-12.977264
TRIMELMlong (150M),Princeton University,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.14612341629448403,-1.8040541631557683,-4.3186154,-12.787186
Imagen,Google Brain,United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,1.3370544512274687,1.8613050000451357,15.835329,14.189632
Gato,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Multimodal,1.3790218702064971,1.4460411100065576,33.217964,7.03991
UL2,"Google Research,Google Brain",United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.054457415237642,0.6655052523312287,10.742366,-3.2069073
OPT-175B,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.262730446175234,1.1848992297136,15.283207,-2.5165763
Flamingo,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Multimodal,2.0127315540087034,1.8648366122669469,32.676224,7.8091884
Sparse all-MLP,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.3778639940215722,-0.09944057717499613,2.5192175,27.158484
Stable Diffusion (LDM-KL-8-G),"Runway,Ludwig Maximilian University of Munich,Heidelberg University",United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,1.5789545705127657,2.14846527472346,15.539654,13.436773
BERT-RBP,Waseda University,Japan,Asia-Pacífico,Era Transformer (2017-2022),Biology,0.3056254330903373,-2.4314283826358474,10.731871,-34.996456
DALL·E 2,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,1.4432024235245988,1.8982855143191815,15.778984,14.198295
PaLM (540B),Google Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.0847918856815055,1.2087363557052144,11.46007,27.962618
Monarch-GPT-2-Medium,"Stanford University,University at Buffalo,University of Michigan",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.041190807669014645,-1.916241896555535,-15.322417,-21.922943
Monarch-GPT-2-Small,"Stanford University,University at Buffalo,University of Michigan",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.14564730682055863,-1.9486450400570317,-15.584699,-20.851795
NoPos,"Tel Aviv University,University of Washington,Intel Labs,Meta AI",Israel,Medio Oriente,Era Transformer (2017-2022),Language,0.05742785545812659,-1.8398268236173452,-14.90342,-22.001032
Chinchilla,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,1.8175128813992096,0.9595482979390946,10.218505,27.443945
MemSizer (language modeling),"Meta AI,Chinese University of Hong Kong (CUHK)",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.7953886799802797,-0.3609469327433573,0.36464834,26.326677
"Segatron-XL large, M=384 + HCP","Microsoft Research,University of Waterloo",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.803966421461748,-0.18839210156363947,0.93148184,26.197893
Transformer Large + HCP,"University of Waterloo,Microsoft Research",Canada,Anglosphere,Era Transformer (2017-2022),Language,-0.09925230303124163,-2.3071819040605126,-18.326677,-21.132252
"Segatron -XL base, M=150 + HCP","Microsoft Research,University of Waterloo",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.5775712622969187,-0.22714526091222273,0.42692682,25.840132
ViT-G (model soup),"University of Washington,Columbia University,Google,Meta AI,Tel Aviv University",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.017910312494176718,-0.23791184679693567,-27.066599,12.970378
GPT3-6.7B + muP,"Microsoft,OpenAI",United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.4320591799787683,0.4131698828779972,5.6511245,27.03114
RQ-Transformer (LSUN-cat dataset),"Kakao,POSTECH",Korea (Republic of),Asia-Pacífico,Era Transformer (2017-2022),Image generation,0.6408724777171543,1.2458473892117936,16.441721,14.023721
RQ-Transformer (1.4B params ImageNet dataset),"Kakao,POSTECH",Korea (Republic of),Asia-Pacífico,Era Transformer (2017-2022),Vision,0.22891290104214382,1.5598781257713619,-24.22221,19.794191
RQ-Transformer (3.8B params ImageNet dataset),"Kakao,POSTECH",Korea (Republic of),Asia-Pacífico,Era Transformer (2017-2022),Vision,0.4002181915892796,1.589859897001193,-24.297224,19.962196
Statement Curriculum Learning,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.2379264910443502,0.30545394034094936,4.3577623,26.694155
PolyCoder,Carnegie Mellon University (CMU),United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.7045780731889504,-1.3788011501670543,-2.1319642,-11.808327
ST-MoE,"Google,Google Brain,Google Research",United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.0079951492095507,0.5742735216635717,8.180854,28.524422
LaMDA,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.874737245902795,0.8966592845479648,9.88417,27.781593
ProteinBERT,"Hebrew University of Jerusalem,Ben-Gurion University of the Negev,Deep Trading",Israel,Medio Oriente,Era Transformer (2017-2022),Biology,-0.047922518854167,-2.0254801114418814,9.820729,-34.912777
GPT-NeoX-20B,EleutherAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.6144912357906487,-0.2130744891577322,3.498622,-8.947412
RETRO-7B,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,1.384067092572552,0.7657379034645209,7.9266686,26.581589
AlphaCode,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,1.7200900370411014,0.8746637213556399,9.469238,27.250109
InstructGPT 175B,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.8005649597421844,1.3232787110045066,11.627817,27.293425
Primer (GPT-3 XL-like 1.9B),Google Brain,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.3385740036364533,0.3620557503939985,4.9390984,26.844576
Detic,"Meta AI,University of Texas at Austin",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.21627523194090628,1.6562210439187086,-24.94332,17.879173
ERNIE 3.0 Titan,"Baidu,Peng Cheng Laboratory",China,China,Era Transformer (2017-2022),Language,2.081386020352928,0.3719385883872752,7.0868716,28.9984
GLIDE,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,1.6796566606353243,1.8905351576115652,15.770874,13.454728
MoE-1.1T,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.3433977190843374,0.6517746848328774,11.751703,-4.2230067
Fairseq-dense 13B,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.8932146193050066,0.5710676958564488,9.566443,-2.8152573
XGLM-7.5B,"Meta AI,Facebook AI Research",United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.7920337360525156,0.6433584036036141,9.795352,-2.2982922
HSO,Toyota Technological Institute at Chicago,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.30687656372977223,-2.491544817149392,-18.770601,-22.204079
Contriever,"Meta AI,University College London (UCL),PSL University,Université Grenoble Alpes",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.9808074303060329,0.7410787613281987,8.235151,-0.27833572
GLaM,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.076056953197866,0.8556951953062759,9.949627,28.574097
Gopher (280B),DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,1.9395738119887984,0.9030706111099057,10.035312,28.046349
CTR-BERT,Amazon,United States of America,Anglosphere,Era Transformer (2017-2022),Recommendation,0.4122838869803319,0.28920231726445617,2.489552,22.010715
GPT-2-Medium+Pixelfly,"Stanford University,SambaNova Systems, Inc,Peking University,Adobe,University at Buffalo",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.20245388744891582,-1.9742186337436118,-16.138285,-20.723858
GPT-2-Small+Pixelfly,"Stanford University,SambaNova Systems, Inc,Peking University,Adobe,University at Buffalo",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.3873856351507062,-2.006585534624928,-16.546991,-19.681055
NÜWA,"Microsoft Research,Peking University",United States of America,Anglosphere,Era Transformer (2017-2022),Multimodal,1.3720529240193409,1.269552221189341,33.495277,6.86444
Florence,Microsoft,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.4842502260712036,1.7454697312659015,-24.559395,19.838804
BASIC-L,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.6689250866830626,1.4843068208667725,-24.382572,20.2359
Swin Transformer V2 (SwinV2-G),Microsoft Research Asia,China,China,Era Transformer (2017-2022),Vision,0.7312909092806011,1.995784850826773,-25.814306,18.084827
ESM1v,"Facebook AI Research,New York University (NYU),University of California (UC) Berkeley",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.153932577220695,0.1580098457945139,18.55531,-28.440207
Masked Autoencoders ViT-H,Facebook AI Research,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.45141777471549505,2.2242853489307746,-25.954752,17.412708
GPT2+CoreLM+Fine-Tuning,Aristotle University of Thessaloniki,Greece,Otro,Era Transformer (2017-2022),Language,0.031538249361989706,-2.5946063267582815,-19.526558,-21.393951
CodeT5-base,"Salesforce,Nanyang Technological University",United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.1779392644814082,0.8682893116560798,9.058393,-0.30623895
S4,Stanford University,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.17923167079264066,-1.1994933236024867,-2.9712858,-11.141074
PMLM-large,"Microsoft Research Asia,Nanyang Technological University,Xi’an Jiaotong University,Sun Yat-sen University",China,China,Era Transformer (2017-2022),Biology,0.9962633880352554,-0.4963406194406975,17.242537,-31.465403
base LM+GNN+kNN,"Shannon.AI,Nanjing University,Nanyang Technological University,Zhejiang University (ZJU)",China,China,Era Transformer (2017-2022),Language,1.145175455177885,0.13745919977113238,6.4895043,-0.769214
PAGnol-XL,"LightOn,Laboratoire de Physique de l'Ecole Normale (LPENS),INRIA",France,Europa,Era Transformer (2017-2022),Language,1.1065471806312657,-0.23192752543462922,1.4520692,26.853739
GPT-2 (fine-tuned with HYDRA),University of California San Diego,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.43945666405428896,-2.3892203167797077,-18.0249,-22.667841
MGK 4 heads (medium),"FPT Software AI Center,University of California Los Angeles (UCLA),VinUniversity,Deezer Research,Rice University,University of Texas at Austin",Vietnam,Otro,Era Transformer (2017-2022),Language,0.538874110951777,-0.06280735354288028,0.91239905,25.485548
MGK 8 heads (small),"FPT Software AI Center,University of California Los Angeles (UCLA),VinUniversity,Deezer Research,Rice University,University of Texas at Austin",Vietnam,Otro,Era Transformer (2017-2022),Language,0.38383962191836474,-0.08982731222279852,0.60711414,25.29153
T0-XXL,"Hugging Face,Brown University",United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.5643910503257934,0.9301610311295804,11.598729,-0.92319036
KnGPT2,"Huawei Noah's Ark Lab,McGill University",China,China,Era Transformer (2017-2022),Language,0.8045490017938858,0.00704045502878633,1.7469972,26.077589
Yuan 1.0,Inspur,China,China,Era Transformer (2017-2022),Language,2.0172889161212657,0.31794795472704324,6.6789594,28.908278
TOME,"University of Southern California,Google",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.10421935832917703,-2.030554620493261,-16.149351,-22.143446
Megatron-Turing NLG 530B,"Microsoft,NVIDIA",United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.052591477331302,0.8025321831571272,9.564785,28.526136
M6-10T,Alibaba,China,China,Era Transformer (2017-2022),Multimodal,2.4347718002107714,1.079973282244005,33.606976,7.7639756
PLATO-XL,Baidu,China,China,Era Transformer (2017-2022),Language,1.8484503571161817,0.34117620014693634,8.043283,-3.0257237
DLRM-2022,Facebook,United States of America,Anglosphere,Era Transformer (2017-2022),Recommendation,1.678210106462831,0.7472154477518378,5.065071,22.727182
HyperCLOVA 82B,"NAVER,Search Solutions",Korea (Republic of),Asia-Pacífico,Era Transformer (2017-2022),Language,1.8188819313051916,0.40852940904762614,6.6573796,28.149529
HyperCLOVA 204B,NAVER,Korea (Republic of),Asia-Pacífico,Era Transformer (2017-2022),Language,1.9489696205068372,0.36672773865956876,6.7990727,28.592848
NLM,"Carnegie Mellon University (CMU),University of California San Diego",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.1422485612831528,-1.9152898173295032,-15.367915,-21.013815
PermuteFormer,Peking University,China,China,Era Transformer (2017-2022),Language,-0.27220064455305854,-2.252085510624194,-18.235937,-20.42544
FLAN 137B,Google Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.8907119517563629,1.1085729224564722,10.914764,27.651758
$\infty$-former (SM),"Universidade de Lisboa (ULisboa),DeepMind",Portugal,Otro,Era Transformer (2017-2022),Language,0.21542989329472303,-2.1062382179557746,-16.581343,-22.439081
"ALiBi (L=3072, Lvalid = 3072)","University of Washington,Facebook AI Research,Allen Institute for AI",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.5436573554779802,-1.3349256491709687,-2.530968,-11.653124
XLMR-XXL,Facebook AI Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.8913798505760717,0.490439252848535,8.907195,-2.8775053
ProteinLM,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,Tencent",China,China,Era Transformer (2017-2022),Biology,0.9243445207369845,-2.4123598839965292,10.83487,-35.926506
DNABERT,Northeastern University,United States of America,Anglosphere,Era Transformer (2017-2022),Biology,0.12619831799514583,-1.9266873122555583,9.657916,-35.299786
"GPT-2 (1.5B, Curriculum Learning 45K)",Microsoft,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.17309291298966,0.11448980352767144,3.0469205,26.66551
"GPT-2 (117M, SLW 110K)",Microsoft,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.7092420865910811,0.03351360235716347,1.6292781,25.66516
Jurassic-1-Jumbo,AI21 Labs,Israel,Medio Oriente,Era Transformer (2017-2022),Language,1.9936454894849998,0.2760940705618024,6.368544,28.814558
YOLOX-X,Megvii Inc,China,China,Era Transformer (2017-2022),Vision,0.30007996709858387,2.0723873844540304,-25.468784,17.540693
FMMformer (2-kernel fast weight + Band20),"University of California Los Angeles (UCLA),University of Utah",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.7289415079776724,-2.2284904106642034,-18.856066,-18.983732
SEER,"Facebook AI Research,INRIA",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.9015273277051028,1.6231470083837298,-25.578773,18.501083
GOAT,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Games,0.40167326030936623,0.5583383763735764,2.8359606,21.870602
HuBERT,Facebook AI Research,United States of America,Anglosphere,Era Transformer (2017-2022),Speech,0.39341763409936753,1.7558846801892392,-6.579438,3.2227485
Codex,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.4023113066708421,1.1222769155217416,10.67889,26.402235
ERNIE 3.0,Baidu,China,China,Era Transformer (2017-2022),Language,1.8041251599689787,0.7329997281459725,10.518184,-2.1565566
DEQ-Transformer (Post-LN) + Jacobian Regularisation,"Carnegie Mellon University (CMU),Intel Labs",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.16790106422452414,-1.9056866640229733,-4.5352945,-12.944409
Adaptive Input Transformer + RD,"Microsoft Research Asia,Soochow University",China,China,Era Transformer (2017-2022),Language,0.6786252872806928,0.47334960367614726,3.4512506,25.717577
CPM-2,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",China,China,Era Transformer (2017-2022),Language,0.7171893058403842,-1.8024835944263184,-14.775891,-23.4626
